#cat armor id
001_0000,希望猫(身)
050_2000,海龙猫α(未知)
051_0000,燕尾蝶猫(身)
051_1000,燕尾蝶猫(头)
051_2000,燕尾蝶猫α(未知)
052_0000,小布兰卡(身)
052_1000,小布兰卡(头)
052_2000,小布兰卡α(未知)
053_0000,煌雷龙猫γ(身)
053_1000,煌雷龙猫γ(头)
053_2000,煌雷龙猫γ(未知)
054_0000,纯洁猫(身)
054_1000,纯洁猫(头)
054_2000,纯洁猫α(未知)
055_0000,喵戟龙α(身)
055_1000,喵戟龙α(头)
055_2000,喵戟龙α(未知)
056_0000,未着寸缕森狸人(身)
056_1000,未着寸缕森狸人(头)
056_2000,未着寸缕森狸人α(未知)
057_0000,波衣龙猫γ(身)
057_1000,波衣龙猫γ(头)
057_2000,波衣龙猫γ(未知)
058_0000,狱焰蛸猫γ(身)
058_1000,狱焰蛸猫γ(头)
058_2000,狱焰蛸猫γ(未知)
059_0000,冻峰龙猫γ(身)
059_1000,冻峰龙猫γ(头)
059_2000,冻峰龙猫γ(未知)
060_0000,锁刃龙猫γ(身)
060_1000,锁刃龙猫γ(头)
060_2000,锁刃龙猫γ(未知)
061_0000,凝目猫(身)
061_1000,凝目猫(头)
061_2000,凝目猫(未知)
062_0000,猫铃铛项圈(身)
062_1000,猫铃铛项圈(头)
062_2000,猫铃铛项圈α(未知)
063_0000,小小鹭鹰龙α(身)
063_1000,小小鹭鹰龙α(头)
063_2000,小小鹭鹰龙α(未知)
064_0000,魔界花骨朵(身)
064_1000,魔界花骨朵(头)
064_2000,魔界花骨朵α(未知)
065_0000,盗贼猫装束α(身)
065_1000,盗贼猫装束α(头)
065_2000,盗贼猫装束α(未知)
066_0000,幽灵猫(身)
066_1000,幽灵猫(头)
066_2000,幽灵猫α(未知)
067_0000,苍宙森狸人(身)
067_1000,苍宙森狸人(头)
067_2000,苍宙森狸人(未知)
068_0000,雪猫α(身)
068_1000,雪猫α(头)
068_2000,雪猫α(未知)
069_0000,巨星猫α(身)
069_1000,巨星猫α(头)
069_2000,巨星猫α(未知)
071_0000,完美变身鲁迪α(身)
071_1000,完美变身鲁迪α(头)
071_2000,完美变身鲁迪α(未知)
072_0000,苍世猫α(身)
072_1000,苍世猫α(头)
072_2000,苍世猫α(未知)
506_0000,阿托斯(身)
506_1000,阿托斯(头)
506_2000,阿托斯α(未知)
